original_tag,grouped_tag,pattern,response
greeting,neutral-group,Hi,Hi there. How are you feeling today?
greeting,neutral-group,Hey,Hello there. Tell me how are you feeling today?
greeting,neutral-group,Is anyone there?,Great to see you. How do you feel currently?
greeting,neutral-group,Hi there,Hello there. Tell me how are you feeling today?
greeting,neutral-group,Hello,Hi there. What brings you here today?
greeting,neutral-group,Howdy,Great to see you. How do you feel currently?
greeting,neutral-group,Hola,Hi there. What brings you here today?
greeting,neutral-group,Bonjour,Hello there. Tell me how are you feeling today?
greeting,neutral-group,Greetings,Hello there. Tell me how are you feeling today?
greeting,neutral-group,Yo,Great to see you. How do you feel currently?
greeting,neutral-group,Hiya,Great to see you. How do you feel currently?
greeting,neutral-group,What's going on?,Great to see you. How do you feel currently?
greeting,neutral-group,Hey there,Hi there. What brings you here today?
greeting,neutral-group,How's it going?,Hello there. Tell me how are you feeling today?
greeting,neutral-group,Sup,Hello there. Tell me how are you feeling today?
morning,morning-group,Good morning,Good morning. I hope you had a good night's sleep. How are you feeling today? 
morning,morning-group,Morning!,Good morning. I hope you had a good night's sleep. How are you feeling today? 
morning,morning-group,Rise and shine!,Good morning. I hope you had a good night's sleep. How are you feeling today? 
morning,morning-group,"Wakey, wakey!",Good morning. I hope you had a good night's sleep. How are you feeling today? 
morning,morning-group,Top of the morning to you!,Good morning. I hope you had a good night's sleep. How are you feeling today? 
morning,morning-group,Morning vibes!,Good morning. I hope you had a good night's sleep. How are you feeling today? 
morning,morning-group,A pleasant morning to you!,Good morning. I hope you had a good night's sleep. How are you feeling today? 
morning,morning-group,Bright and early!,Good morning. I hope you had a good night's sleep. How are you feeling today? 
morning,morning-group,"Hello, sunshine!",Good morning. I hope you had a good night's sleep. How are you feeling today? 
morning,morning-group,Good daybreak!,Good morning. I hope you had a good night's sleep. How are you feeling today? 
afternoon,morning-group,Good afternoon,Good afternoon. How is your day going?
afternoon,morning-group,Afternoon!,Good afternoon. How is your day going?
afternoon,morning-group,"Hello, good afternoon!",Good afternoon. How is your day going?
afternoon,morning-group,Hope you're having a great afternoon!,Good afternoon. How is your day going?
afternoon,morning-group,Good day!,Good afternoon. How is your day going?
afternoon,morning-group,How's your afternoon going?,Good afternoon. How is your day going?
afternoon,morning-group,Wishing you a pleasant afternoon!,Good afternoon. How is your day going?
afternoon,morning-group,Happy afternoon!,Good afternoon. How is your day going?
afternoon,morning-group,What a lovely afternoon!,Good afternoon. How is your day going?
afternoon,morning-group,Hello this fine afternoon!,Good afternoon. How is your day going?
evening,morning-group,Good evening,Good evening. How has your day been?
evening,morning-group,Evening!,Good evening. How has your day been?
evening,morning-group,"Hello, good evening!",Good evening. How has your day been?
evening,morning-group,Hope you're enjoying your evening!,Good evening. How has your day been?
evening,morning-group,Wishing you a relaxing evening!,Good evening. How has your day been?
evening,morning-group,How's your evening going?,Good evening. How has your day been?
evening,morning-group,"Lovely evening, isn't it?",Good evening. How has your day been?
evening,morning-group,What are your plans for tonight?,Good evening. How has your day been?
evening,morning-group,A pleasant evening to you!,Good evening. How has your day been?
evening,morning-group,How are you winding down tonight?,Good evening. How has your day been?
night,morning-group,Good night,Good night. Get some proper sleep.
night,morning-group,Night night!,Good night. Get some proper sleep.
night,morning-group,Sleep well!,Good night. Sweet dreams.
night,morning-group,Sweet dreams!,Good night. Get some proper sleep.
night,morning-group,Rest well!,Good night. Get some proper sleep.
night,morning-group,Have a peaceful night!,Good night. Sweet dreams.
night,morning-group,Time to sleep!,Good night. Get some proper sleep.
night,morning-group,"Goodnight, sleep tight!",Good night. Get some proper sleep.
night,morning-group,See you in the morning!,Good night. Sweet dreams.
night,morning-group,Dream big tonight!,Good night. Get some proper sleep.
goodbye,goodbye-group,Bye,Bye! Come back again.
goodbye,goodbye-group,See you later,Bye! Come back again.
goodbye,goodbye-group,Goodbye,See you later.
goodbye,goodbye-group,Au revoir,See you later.
goodbye,goodbye-group,Sayonara,Bye! Come back again.
goodbye,goodbye-group,Ok bye,See you later.
goodbye,goodbye-group,Bye then,Bye! Come back again.
goodbye,goodbye-group,Fare thee well,Bye! Come back again.
goodbye,goodbye-group,Catch you later,I'll see you soon.
goodbye,goodbye-group,Take care,I'll see you soon.
goodbye,goodbye-group,Adios,I'll see you soon.
thanks,thanks-group,Thanks,Any time!
thanks,thanks-group,Thank you,You're most welcome!
thanks,thanks-group,That's helpful,Happy to help!
thanks,thanks-group,Thanks for the help,Any time!
thanks,thanks-group,Thank you very much,Happy to help!
thanks,thanks-group,I appreciate it,Any time!
thanks,thanks-group,Much obliged,My pleasure.
thanks,thanks-group,Thanks a lot,Happy to help!
thanks,thanks-group,Many thanks,You're most welcome!
thanks,thanks-group,Thanks so much,Any time!
no-response,no-group,,Please don't hesitate to talk to me.
no-response,no-group, ,Not sure I understand that.
no-response,no-group,...,Please don't hesitate to talk to me.
no-response,no-group,?,Not sure I understand that.
no-response,no-group,huh?,Please go on.
no-response,no-group,what?,Please don't hesitate to talk to me.
no-response,no-group,umm?,Not sure I understand that.
no-response,no-group,???,"Sorry, I didn't understand you."
no-response,no-group,eh?,Not sure I understand that.
no-response,no-group,can you repeat that?,Please go on.
no-response,no-group,I don't get it,"Sorry, I didn't understand you."
neutral-response,neutral-group,nothing much,Oh I see. Do you want to talk about something?
neutral-response,neutral-group,not much happening,Oh I see. Do you want to talk about something?
neutral-response,neutral-group,just chilling,Oh I see. Do you want to talk about something?
neutral-response,neutral-group,"same old, same old",Oh I see. Do you want to talk about something?
neutral-response,neutral-group,not really doing anything,Oh I see. Do you want to talk about something?
neutral-response,neutral-group,just hanging out,Oh I see. Do you want to talk about something?
neutral-response,neutral-group,keeping it low-key,Oh I see. Do you want to talk about something?
neutral-response,neutral-group,taking it easy,Oh I see. Do you want to talk about something?
neutral-response,neutral-group,just relaxing,Oh I see. Do you want to talk about something?
neutral-response,neutral-group,kinda bored,Oh I see. Do you want to talk about something?
